OBJECTID,FID_tl_2017_48_tract,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,FID_FEMA_Floodplains_NFHL_2015,DFIRM_ID,FLD_AR_ID,FLD_ZONE,ZONE_SUBTY,FloodYear,Year/totalarea,SFHA_TF,SOURCE_CIT,Shape_Length,Shape_Area,SummarizedAreaforSameName
1,0,48,201,542301,48201542301,5423.01,Census Tract 5423.01,G5020,S,5956733,15456,29.820499,-95.7316493,5234,48201C,48201C_575,AE,,100,0.1953125,T,48201C_STUDY1,0.017751347,1.65E-06,0.524091363
2,0,48,201,542301,48201542301,5423.01,Census Tract 5423.01,G5020,S,5956733,15456,29.820499,-95.7316493,7545,48201C,48201C_1055,AE,,100,0.1953125,T,48201C_STUDY1,0.095646919,4.63E-05,
3,0,48,201,542301,48201542301,5423.01,Census Tract 5423.01,G5020,S,5956733,15456,29.820499,-95.7316493,7657,48201C,48201C_139,AE,,100,0.1953125,T,48201C_STUDY1,0.020520214,2.64E-06,
4,0,48,201,542301,48201542301,5423.01,Census Tract 5423.01,G5020,S,5956733,15456,29.820499,-95.7316493,7793,48201C,48201C_743,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,500,0.1953125,F,48201C_STUDY1,0.011228712,3.17E-06,
5,0,48,201,542301,48201542301,5423.01,Census Tract 5423.01,G5020,S,5956733,15456,29.820499,-95.7316493,7938,48201C,48201C_861,AE,,100,0.1953125,T,48201C_STUDY1,0.014447973,1.08E-06,
6,0,48,201,542301,48201542301,5423.01,Census Tract 5423.01,G5020,S,5956733,15456,29.820499,-95.7316493,25380,48201C,48201C_10235,AE,FLOODWAY,100,0.1953125,T,48201C_STUDY1,0.095070764,1.36E-05,
7,0,48,201,542301,48201542301,5423.01,Census Tract 5423.01,G5020,S,5956733,15456,29.820499,-95.7316493,26226,48201C,48201C_10249,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,500,0.9765625,F,48201C_STUDY1,0.153958706,7.16E-05,
8,0,48,201,542301,48201542301,5423.01,Census Tract 5423.01,G5020,S,5956733,15456,29.820499,-95.7316493,26307,48201C,48201C_10277,X,AREA OF MINIMAL FLOOD HAZARD,0,0,F,48201C_STUDY1,0.115466728,0.000417336,
9,1,48,201,552601,48201552601,5526.01,Census Tract 5526.01,G5020,S,2911911,4263,29.9629845,-95.567918,7533,48201C,48201C_10263,X,AREA OF MINIMAL FLOOD HAZARD,0,0,F,48201C_STUDY1,0.087278534,0.000272548,
10,7,48,167,720501,48167720501,7205.01,Census Tract 7205.01,G5020,S,4464969,15348,29.4994108,-95.1413275,10308,48201C,48201C_3147,AE,FLOODWAY,100,,T,48201C_STUDY1,0.00888525,9.60E-08,
11,12,48,201,323701,48201323701,3237.01,Census Tract 3237.01,G5020,S,2311208,5694,29.6551252,-95.1769249,6865,48201C,48201C_1440,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,500,,F,48201C_STUDY1,0.003607337,2.16E-07,
12,12,48,201,323701,48201323701,3237.01,Census Tract 3237.01,G5020,S,2311208,5694,29.6551252,-95.1769249,10207,48201C,48201C_10225,X,AREA OF MINIMAL FLOOD HAZARD,0,,F,48201C_STUDY1,0.059238006,0.000215677,
13,13,48,201,240702,48201240702,2407.02,Census Tract 2407.02,G5020,S,10244563,45433,29.9802287,-95.4059104,7533,48201C,48201C_10263,X,AREA OF MINIMAL FLOOD HAZARD,0,,F,48201C_STUDY1,0.168792138,0.0009171,
14,13,48,201,240702,48201240702,2407.02,Census Tract 2407.02,G5020,S,10244563,45433,29.9802287,-95.4059104,10861,48201C,48201C_6297,X,AREA OF MINIMAL FLOOD HAZARD,0,,F,48201C_STUDY1,0.016091639,8.25E-07,
15,13,48,201,240702,48201240702,2407.02,Census Tract 2407.02,G5020,S,10244563,45433,29.9802287,-95.4059104,11816,48201C,48201C_6825,AE,,100,,T,48201C_STUDY1,0.017492235,1.84E-05,
16,13,48,201,240702,48201240702,2407.02,Census Tract 2407.02,G5020,S,10244563,45433,29.9802287,-95.4059104,11818,48201C,48201C_6832,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,500,,F,48201C_STUDY1,0.002971983,3.22E-08,
17,13,48,201,240702,48201240702,2407.02,Census Tract 2407.02,G5020,S,10244563,45433,29.9802287,-95.4059104,12050,48201C,48201C_6833,AE,,100,,T,48201C_STUDY1,0.01917469,5.78E-06,
18,13,48,201,240702,48201240702,2407.02,Census Tract 2407.02,G5020,S,10244563,45433,29.9802287,-95.4059104,12594,48201C,48201C_9175,AE,,100,,T,48201C_STUDY2,0.034914856,5.66E-06,
