STATE,COUNTY,FIPS,TRACT,population,AVGCONCMAJ,AVGCONCAR,AVGCONCON,AVGCONCNON,AVGCONCBK,AVGCONCSEC,AVGCONCTOT,AVGEXPMAJ,AVGEXPAR,AVGEXPON,AVGEXPNON,AVGEXPBK,AVGEXPSEC,AVGEXPTOT,AVGRSKMAJ,AVGRSKAR,AVGRSKON,AVGRSKNON,AVGRSKBK,AVGRSKSEC,AVGRSKTOT,RESPTOT,NEURTOT,LIVRTOT,DEVTOT,RPROTOT,KIDNTOT,OCULTOT,ENDOTOT,HEMATOT,IMMUTOT,SKELTOT,SPLETOT,THYRTOT,WHOLTOT,Chemical.Name
TX,Chambers,48071,48071710100,5242,0.001416949,0.019986274,0.007769423,0.007277119,0,1.42865,1.465099765,0.001248918,0.015815167,0.010113153,0.0074624,0,1.090431385,1.125071023,2.75E-09,3.48E-08,2.22E-08,1.64E-08,0,2.40E-06,2.48E-06,0.125007891,0,0,0,0,0,0,0,0,0,0,0,0,0,ACETALDEHYDE
TX,Chambers,48071,48071710100,5242,0.025981279,0.158351587,0.018884406,0.011131166,0.347022534,0,0.561370973,0.029345601,0.135170842,0.026918591,0.011689013,0.26867191,0,0.471795957,2.29E-07,1.05E-06,2.10E-07,9.12E-08,2.10E-06,0,3.68E-06,0,0,0,0,0,0,0,0,0,0.015726532,0,0,0,0,BENZENE
TX,Chambers,48071,48071710100,5242,0.010546668,0.002746454,0.002509183,0.001268707,0.02589411,0,0.042965121,0.009947275,0.002011253,0.003958416,0.002091354,0.012947055,0,0.030955354,2.98E-07,6.03E-08,1.19E-07,6.27E-08,3.88E-07,0,9.29E-07,0,0,0,0,0.015477677,0,0,0,0,0,0,0,0,0,BUTADIENE
TX,Chambers,48071,48071710100,5242,0.004073171,0.012791222,0,0,0,0,0.016864393,0.004048488,0.00877717,0,0,0,0,0.012825658,0,0,0,0,0,0,0,0,0.004275219,0,0,0,0,0,0,0,0,0,0,0.004275219,0,CYANIDE
TX,Chambers,48071,48071710100,5242,0,0,0.151387675,0.096376405,0,0,0.24776408,0,0,0.105744884,0.04887613,0,0,0.154621014,0,0,0,0,0,0,0,0.030924203,0,0,0,0,0,0,0,0,0,0,0,0,0,DIESEL
TX,Chambers,48071,48071710100,5242,0.025598784,0.173236052,0.065189298,0.023730133,0.45203626,0,0.739790527,0.022683268,0.154656817,0.08964971,0.023274849,0.403556237,0,0.693820881,0,0,0,0,0,0,0,0,0.000138764,0,0,0,0,0,0,0,0,0,0,0,0,TOLUENE
TX,Chambers,48071,48071710200,7955,0.003299626,0.012200265,0.004782399,0.011782552,0,1.24341,1.275474842,0.002782101,0.009832962,0.006823557,0.013156829,0,0.960840855,0.993436305,6.12E-09,2.16E-08,1.50E-08,2.89E-08,0,2.11E-06,2.19E-06,0.110381812,0,0,0,0,0,0,0,0,0,0,0,0,0,ACETALDEHYDE
TX,Chambers,48071,48071710200,7955,0.054524265,0.203308398,0.014179158,0.018212934,0.347022534,0,0.637247288,0.048485935,0.175959519,0.024032325,0.019093351,0.278020772,0,0.545591903,3.78E-07,1.37E-06,1.87E-07,1.49E-07,2.17E-06,0,4.26E-06,0,0,0,0,0,0,0,0,0,0.018186397,0,0,0,0,BENZENE
TX,Chambers,48071,48071710200,7955,0.010992464,0.001401106,0.001400798,0.001603605,0.02589411,0,0.041292084,0.01417956,0.001069288,0.002932607,0.003192808,0.012947055,0,0.034321319,4.25E-07,3.21E-08,8.80E-08,9.58E-08,3.88E-07,0,1.03E-06,0,0,0,0,0.017160659,0,0,0,0,0,0,0,0,0,BUTADIENE
TX,Chambers,48071,48071710200,7955,0.006544554,0.010671468,0,0,0,0,0.017216022,0.006571965,0.007482107,0,0,0,0,0.014054072,0,0,0,0,0,0,0,0,0.004684691,0,0,0,0,0,0,0,0,0,0,0.004684691,0,CYANIDE
TX,Chambers,48071,48071710200,7955,0,0,0.080422806,0.15782899,0,0,0.238251796,0,0,0.064354051,0.07449725,0,0,0.138851302,0,0,0,0,0,0,0,0.02777026,0,0,0,0,0,0,0,0,0,0,0,0,0,DIESEL
TX,Chambers,48071,48071710200,7955,0.049867491,0.214767938,0.045774785,0.040605687,0.45203626,0,0.80305216,0.041615384,0.204937418,0.075899497,0.036980604,0.431345317,0,0.790778219,0,0,0,0,0,0,0,0,0.000158156,0,0,0,0,0,0,0,0,0,0,0,0,TOLUENE
TX,Chambers,48071,48071710300,3144,0.000553877,0.022342975,0.007705799,0.003936431,0,1.45035,1.484889083,0.000474619,0.017002112,0.010981148,0.003970357,0,1.093833429,1.126261665,1.04E-09,3.74E-08,2.42E-08,8.73E-09,0,2.41E-06,2.48E-06,0.125140185,0,0,0,0,0,0,0,0,0,0,0,0,0,ACETALDEHYDE
TX,Chambers,48071,48071710300,3144,0.008790247,0.078896937,0.017754022,0.00662814,0.347022534,0,0.45909188,0.007841824,0.062404911,0.02558743,0.00606875,0.248679728,0,0.350582645,6.12E-08,4.87E-07,2.00E-07,4.73E-08,1.94E-06,0,2.73E-06,0,0,0,0,0,0,0,0,0,0.011686088,0,0,0,0,BENZENE
TX,Chambers,48071,48071710300,3144,0.00183558,0.002053502,0.001338048,0.000359597,0.02589411,0,0.031480838,0.003531972,0.001243164,0.001692707,0.000472783,0.012947055,0,0.01988768,1.06E-07,3.73E-08,5.08E-08,1.42E-08,3.88E-07,0,5.97E-07,0,0,0,0,0.00994384,0,0,0,0,0,0,0,0,0,BUTADIENE
TX,Chambers,48071,48071710300,3144,0.00453196,0.004317495,0,0,0,0,0.008849455,0.004411634,0.003089316,0,0,0,0,0.00750095,0,0,0,0,0,0,0,0,0.002500317,0,0,0,0,0,0,0,0,0,0,0.002500317,0,CYANIDE
TX,Chambers,48071,48071710300,3144,0,0,0.172713261,0.052826444,0,0,0.225539706,0,0,0.121256004,0.024545695,0,0,0.1458017,0,0,0,0,0,0,0,0.02916034,0,0,0,0,0,0,0,0,0,0,0,0,0,DIESEL
TX,Chambers,48071,48071710300,3144,0.007125378,0.06456745,0.063900646,0.017201525,0.45203626,0,0.604831259,0.005462627,0.055123185,0.084697595,0.013915841,0.385917028,0,0.545116275,0,0,0,0,0,0,0,0,0.000109023,0,0,0,0,0,0,0,0,0,0,0,0,TOLUENE
TX,Chambers,48071,48071710400,5598,0.001386077,0.021193005,0.007010669,0.008905375,0,1.30706,1.345555126,0.001404293,0.017404294,0.009180855,0.01193178,0,0.977949018,1.01787024,3.09E-09,3.83E-08,2.02E-08,2.62E-08,0,2.15E-06,2.24E-06,0.113096693,0,0,0,0,0,0,0,0,0,0,0,0,0,ACETALDEHYDE
TX,Chambers,48071,48071710400,5598,0.009339772,0.116939111,0.017768657,0.011780176,0.347022534,0,0.50285025,0.009401,0.124181241,0.027735641,0.010410874,0.23156412,0,0.403292876,7.33E-08,9.69E-07,2.16E-07,8.12E-08,1.81E-06,0,3.15E-06,0,0,0,0,0,0,0,0,0,0.013443096,0,0,0,0,BENZENE
TX,Chambers,48071,48071710400,5598,0.002831945,0.000551291,0.001214933,0.000471972,0.02589411,0,0.030964253,0.0032331,0.000301488,0.00171272,0.000388584,0.012947055,0,0.018582947,9.70E-08,9.04E-09,5.14E-08,1.17E-08,3.88E-07,0,5.57E-07,0,0,0,0,0.009291473,0,0,0,0,0,0,0,0,0,BUTADIENE
TX,Chambers,48071,48071710400,5598,0.013718497,0.00403504,0,0,0,0,0.017753537,0.014387561,0.002781949,0,0,0,0,0.01716951,0,0,0,0,0,0,0,0,0.00572317,0,0,0,0,0,0,0,0,0,0,0.00572317,0,CYANIDE
TX,Chambers,48071,48071710400,5598,0,0,0.137193443,0.144800756,0,0,0.281994199,0,0,0.079165351,0.078291292,0,0,0.157456644,0,0,0,0,0,0,0,0.031491329,0,0,0,0,0,0,0,0,0,0,0,0,0,DIESEL
TX,Chambers,48071,48071710400,5598,0.045374025,0.044555947,0.056859389,0.028064062,0.45203626,0,0.626889684,0.040342817,0.037450901,0.08106395,0.020364761,0.379952982,0,0.55917541,0,0,0,0,0,0,0,0,0.000111835,0,0,0,0,0,0,0,0,0,0,0,0,TOLUENE
TX,Chambers,48071,48071710500,4092,0.001154706,0.00938749,0.002449937,0.004895085,0,1.16288,1.180767218,0.001058082,0.007563203,0.003130369,0.005169426,0,0.859280827,0.876201907,2.33E-09,1.66E-08,6.89E-09,1.14E-08,0,1.89E-06,1.93E-06,0.097355767,0,0,0,0,0,0,0,0,0,0,0,0,0,ACETALDEHYDE
TX,Chambers,48071,48071710500,4092,0.015476752,0.06307113,0.006278959,0.006909645,0.347022534,0,0.438759019,0.015292532,0.052077608,0.008729887,0.007295013,0.244796355,0,0.328191394,1.19E-07,4.06E-07,6.81E-08,5.69E-08,1.91E-06,0,2.56E-06,0,0,0,0,0,0,0,0,0,0.010939713,0,0,0,0,BENZENE
TX,Chambers,48071,48071710500,4092,0.001714504,0.000359282,0.000357348,0.000314794,0.02589411,0,0.028640038,0.001487384,0.000181514,0.0005365,0.000562994,0.012947055,0,0.015715448,4.46E-08,5.45E-09,1.61E-08,1.69E-08,3.88E-07,0,4.71E-07,0,0,0,0,0.007857724,0,0,0,0,0,0,0,0,0,BUTADIENE
TX,Chambers,48071,48071710500,4092,0.004802228,0.003164406,0,0,0,0,0.007966633,0.004798807,0.002141017,0,0,0,0,0.006939824,0,0,0,0,0,0,0,0,0.002313275,0,0,0,0,0,0,0,0,0,0,0.002313275,0,CYANIDE
TX,Chambers,48071,48071710500,4092,0,0,0.049276788,0.066544993,0,0,0.115821781,0,0,0.032589935,0.032895998,0,0,0.065485933,0,0,0,0,0,0,0,0.013097187,0,0,0,0,0,0,0,0,0,0,0,0,0,DIESEL
TX,Chambers,48071,48071710500,4092,0.012672078,0.041585418,0.021278339,0.017255859,0.45203626,0,0.544827954,0.010922098,0.036532576,0.025630812,0.01484413,0.397111526,0,0.485041142,0,0,0,0,0,0,0,0,9.70E-05,0,0,0,0,0,0,0,0,0,0,0,0,TOLUENE
TX,Galveston,48167,48167720100,4095,0.009449711,0.015006668,0.016583212,0.041654083,0,1.57774,1.660433674,0.008190099,0.012913487,0.021465184,0.042104697,0,1.230552574,1.315226041,1.80E-08,2.84E-08,4.72E-08,9.26E-08,0,2.71E-06,2.89E-06,0.146136227,0,0,0,0,0,0,0,0,0,0,0,0,0,ACETALDEHYDE
TX,Galveston,48167,48167720100,4095,0.122773149,0.227891667,0.056050097,0.057600994,0.287404105,0,0.751720012,0.105554588,0.189982069,0.080404452,0.067571375,0.216584889,0,0.660097374,8.23E-07,1.48E-06,6.27E-07,5.27E-07,1.69E-06,0,5.15E-06,0,0,0,0,0,0,0,0,0,0.022003246,0,0,0,0,BENZENE
TX,Galveston,48167,48167720100,4095,0.045026043,0.000111983,0.006943146,0.007110329,0.023829384,0,0.083020885,0.043982262,8.98E-05,0.01269255,0.010120178,0.017533251,0,0.084418028,1.32E-06,2.69E-09,3.81E-07,3.04E-07,5.26E-07,0,2.53E-06,0,0,0,0,0.042209014,0,0,0,0,0,0,0,0,0,BUTADIENE
TX,Galveston,48167,48167720100,4095,0.010493604,0.033941311,0,0,0,0,0.044434915,0.010584129,0.022384665,0,0,0,0,0.032968793,0,0,0,0,0,0,0,0,0.010989598,0,0,0,0,0,0,0,0,0,0,0.010989598,0,CYANIDE
TX,Galveston,48167,48167720100,4095,0,0,0.24186509,0.547703421,0,0,0.789568511,0,0,0.214051883,0.2756917,0,0,0.489743582,0,0,0,0,0,0,0,0.097948716,0,0,0,0,0,0,0,0,0,0,0,0,0,DIESEL
TX,Galveston,48167,48167720100,4095,0.12123379,0.46429562,0.175075963,0.104996193,0.565045325,0,1.430646891,0.100845314,0.403896218,0.2424169,0.116978965,0.491539571,0,1.355676969,0,0,0,0,0,0,0,0,0.000271135,0,0,0,0,0,0,0,0,0,0,0,0,TOLUENE
